bairro,area,quartos,banheiros,vagas,hospital,gas_station,school,supermarket,restaurant,pharmacy,preco
Centro,52,2,2,0,1,1,1,1,1,1,270000
Loteamento Jardim Primavera,147,0,0,0,0,0,1,1,1,1,90000
Parque das Rodovias,300,0,0,0,1,1,1,1,1,0,175000
Parque das Rodovias,175,0,0,0,1,1,1,1,1,0,117000
Cecap,107,2,1,2,1,0,1,1,1,0,280000
Olaria,360,0,0,0,1,1,1,1,1,1,280000
Olaria,162,2,2,1,1,1,1,1,1,1,456000
Bairro da Cruz,158,0,0,0,1,1,1,1,1,1,95000
Bairro da Cruz,300,2,1,0,1,1,1,1,1,1,375000
Olaria,125,2,2,1,1,1,1,1,1,1,390000
Vila Brito,149,0,0,0,1,1,1,1,1,0,90000
Vila Passos,70,2,2,1,1,1,1,1,1,1,275000
Vila Nunes,150,0,0,0,1,1,1,1,1,1,157000
Bairro da Cruz,248,3,1,2,1,1,1,1,1,1,500000
Residencial Vila Rica,96,2,1,2,1,0,1,1,1,1,289000
Bairro da Cruz,175,0,0,0,1,1,1,1,1,1,198000
Aterrado,49,2,1,1,1,0,1,1,1,1,220000
Cidade Industrial,225,0,0,0,1,1,1,1,1,1,180000
Olaria,162,2,2,1,1,1,1,1,1,1,456000
Centro,330,2,2,0,1,1,1,1,1,1,210000
Bairro da Cruz,175,0,0,0,1,1,1,1,1,1,110000
Centro,100,2,1,1,1,1,1,1,1,1,310000
Centro,250,0,0,0,1,1,1,1,1,1,250000
Bairro da Cruz,140,3,3,3,1,1,1,1,1,1,550000
Centro,137,3,2,0,1,1,1,1,1,1,300000
Cidade Industrial,81,2,1,1,1,1,1,1,1,1,300000
Bairro da Cruz,193,3,2,2,1,1,1,1,1,1,550000
Centro,103,2,1,1,1,1,1,1,1,1,320000
Bairro da Cruz,363,2,1,0,1,1,1,1,1,1,320000
Bairro da Cruz,140,3,3,3,1,1,1,1,1,1,550000
Nova Lorena,160,2,3,2,1,1,1,1,1,1,450000
Bairro da Cruz,320,3,1,2,1,1,1,1,1,1,550000
Bairro da Cruz,72,2,2,1,1,1,1,1,1,1,350000
Bairro da Cruz,280,2,2,1,1,1,1,1,1,1,575000
Cidade Industrial,210,2,1,2,1,1,1,1,1,1,425000
Cidade Industrial,210,2,1,2,1,1,1,1,1,1,425000
Bairro da Cruz,160,1,1,0,1,1,1,1,1,1,220000
Vila Santa Edwiges,70,1,1,1,1,1,1,1,1,1,234000
Vila Santa Edwiges,72,2,2,1,1,1,1,1,1,1,340000
Vila dos Comerciários I,186,3,2,1,1,0,1,1,1,0,320000
Vila dos Comerciários I,120,3,1,1,1,0,1,1,1,0,310000
Vila Passos,58,2,1,1,1,1,1,1,1,1,270000
Bairro da Cruz,150,0,0,0,1,1,1,1,1,1,250000
Loteamento Village das Palmeiras,175,2,1,2,1,1,1,1,1,1,580000
Olaria,250,0,0,0,1,1,1,1,1,1,299000
Centro,182,2,1,1,1,1,1,1,1,1,250000
Centro,80,0,0,0,1,1,1,1,1,1,345000
Cidade Industrial,53,2,1,1,1,1,1,1,1,1,250000
Vila Nunes,64,2,2,1,1,1,1,1,1,1,385000
Vila Passos,160,3,1,1,1,1,1,1,1,1,259000
Aterrado,44,2,1,1,1,0,1,1,1,1,215000
Cidade Industrial,57,2,1,1,1,1,1,1,1,1,271410
Vila Hepacare,82,0,2,1,1,1,1,1,1,1,550000
Vila Nunes,64,2,1,2,1,1,1,1,1,1,385000
Bairro da Cruz,300,3,1,2,1,1,1,1,1,1,540000
Santo Antônio,112,2,1,2,1,0,1,1,1,1,300000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Bairro da Cruz,125,0,0,0,1,1,1,1,1,1,115000
Bairro da Cruz,70,2,1,1,1,1,1,1,1,1,400000
Santo Antônio,48,2,2,1,1,0,1,1,1,1,199990
Vila Hepacare,53,2,1,1,1,1,1,1,1,1,299000
Vila Geny,67,2,1,0,1,1,1,1,1,1,480000
Bairro da Cruz,60,1,1,0,1,1,1,1,1,1,530000
Vila Passos,75,2,2,2,1,1,1,1,1,1,340000
Vila Nunes,99,2,1,1,1,1,1,1,1,1,320000
Cidade Industrial,54,2,1,1,1,1,1,1,1,1,187000
Bairro da Cruz,120,3,2,2,1,1,1,1,1,1,466000
Bairro da Cruz,141,1,1,2,1,1,1,1,1,1,380000
Nova Lorena,258,3,3,2,1,1,1,1,1,1,570000
Cidade Industrial,360,3,2,0,1,1,1,1,1,1,495000
Nova Lorena,160,2,3,0,1,1,1,1,1,1,550000
Cidade Industrial,137,2,2,2,1,1,1,1,1,1,340000
Vila Nunes,64,2,1,1,1,1,1,1,1,1,370000
Vila Nunes,180,3,1,1,1,1,1,1,1,1,480000
Nova Lorena,192,3,1,1,1,1,1,1,1,1,320000
Residencial Vila Rica,183,0,0,0,1,0,1,1,1,1,100000
Olaria,162,2,2,1,1,1,1,1,1,1,456000
Loteamento Village das Palmeiras,72,0,0,0,1,1,1,1,1,1,159000
Cidade Industrial,210,0,0,0,1,1,1,1,1,1,170000
Cidade Industrial,130,2,1,2,1,1,1,1,1,1,299000
Vila Passos,297,0,0,0,1,1,1,1,1,1,320000
Parque das Rodovias,87,2,2,2,1,1,1,1,1,0,385000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Bairro da Cruz,360,3,1,2,1,1,1,1,1,1,450000
Loteamento Village das Palmeiras,205,0,0,0,1,1,1,1,1,1,210000
Parque Mondesir,149,3,1,2,1,1,1,1,1,0,435000
Cidade Industrial,150,2,1,2,1,1,1,1,1,1,330000
Bairro da Cruz,300,0,0,0,1,1,1,1,1,1,355000
Vila Nunes,112,3,2,2,1,1,1,1,1,1,450000
Centro,330,0,0,0,1,1,1,1,1,1,299000
Residencial Vila Rica,193,0,0,0,1,0,1,1,1,1,105000
Olaria,162,2,2,1,1,1,1,1,1,1,456000
Vila Passos,280,2,2,1,1,1,1,1,1,1,279000
Bairro da Cruz,375,3,1,2,1,1,1,1,1,1,550000
Bairro da Cruz,150,0,0,0,1,1,1,1,1,1,130000
Vila Nunes,140,3,3,2,1,1,1,1,1,1,480000
Aterrado,49,2,1,1,1,0,1,1,1,1,190000
Vila São Roque,90,2,2,1,1,1,1,1,1,1,240000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Aterrado,49,2,1,1,1,0,1,1,1,1,190000
Vila São Roque,90,2,2,1,1,1,1,1,1,1,240000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Bairro da Cruz,250,3,1,0,1,1,1,1,1,1,450000
Cidade Industrial,115,2,2,1,1,1,1,1,1,1,399000
Parque Mondesir,368,0,0,0,1,1,1,1,1,0,270000
Centro,232,0,0,0,1,1,1,1,1,1,145000
Loteamento Village das Palmeiras,352,0,0,0,1,1,1,1,1,1,308000
Olaria,232,3,1,1,1,1,1,1,1,1,395000
Bairro da Cruz,187,3,1,0,1,1,1,1,1,1,440000
Parque das Rodovias,69,2,1,0,1,1,1,1,1,0,247500
Vila Geny,67,2,1,1,1,1,1,1,1,1,480000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Vila Nunes,64,2,2,1,1,1,1,1,1,1,370000
Bairro da Cruz,72,2,2,1,1,1,1,1,1,1,370000
Santo Antônio,50,2,1,1,1,0,1,1,1,1,220000
Olaria,110,2,3,2,1,1,1,1,1,1,560000
Vila Geny,78,2,1,1,1,1,1,1,1,1,280000
Olaria,162,2,2,1,1,1,1,1,1,1,456000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Bairro da Cruz,300,2,1,1,1,1,1,1,1,1,450000
Vila Hepacare,158,3,1,1,1,1,1,1,1,1,450000
Santo Antônio,60,2,2,2,1,0,1,1,1,1,400000
Santo Antônio,112,3,1,0,1,0,1,1,1,1,215000
Vila Passos,86,2,1,1,1,1,1,1,1,1,500000
Loteamento Village das Palmeiras,353,0,0,0,1,1,1,1,1,1,372000
Parque Mondesir,360,0,0,0,1,1,1,1,1,0,320000
Santo Antônio,51,2,1,1,1,0,1,1,1,1,200000
Jardim Novo Horizonte,210,0,0,0,1,1,1,1,1,0,100000
Vila Nunes,64,2,2,1,1,1,1,1,1,1,395000
Bairro da Cruz,150,2,1,2,1,1,1,1,1,1,350000
Vila Brito,89,2,1,0,1,1,1,1,1,0,220000
Bairro da Cruz,250,3,1,3,1,1,1,1,1,1,550000
Vila Nunes,300,0,3,1,1,1,1,1,1,1,500000
Vila Nunes,196,3,2,2,1,1,1,1,1,1,450000
Nova Lorena,142,2,2,2,1,1,1,1,1,1,600000
Bairro da Cruz,65,2,1,1,1,1,1,1,1,1,320000
Vila Passos,58,2,1,1,1,1,1,1,1,1,270000
Bairro da Cruz,250,0,2,0,1,1,1,1,1,1,400000
Vila Brito,360,1,1,1,1,1,1,1,1,0,280000
Bairro da Cruz,161,3,1,0,1,1,1,1,1,1,395000
Bairro da Cruz,71,3,2,0,1,1,1,1,1,1,300000
Cabelinha,170,3,3,1,1,1,1,1,1,1,590000
Portal das Palmeiras,60,2,1,2,1,1,1,1,1,0,290000
Bairro da Cruz,150,0,1,0,1,1,1,1,1,1,550000
Cidade Industrial,210,2,2,2,1,1,1,1,1,1,420000
Loteamento Village das Palmeiras,194,3,3,1,1,1,1,1,1,1,629600
Cidade Industrial,100,3,2,3,1,1,1,1,1,1,460000
Bairro da Cruz,288,3,2,0,1,1,1,1,1,1,480000
Loteamento Village das Palmeiras,194,3,3,1,1,1,1,1,1,1,629600
Cidade Industrial,100,3,2,3,1,1,1,1,1,1,460000
Bairro da Cruz,288,3,2,0,1,1,1,1,1,1,480000
Parque Mondesir,85,2,2,1,1,1,1,1,1,0,350000
Vila Nunes,84,3,2,3,1,1,1,1,1,1,530000
Bairro da Cruz,120,3,1,0,1,1,1,1,1,1,550000
Cidade Industrial,138,3,1,2,1,1,1,1,1,1,420000
Cidade Industrial,110,2,2,2,1,1,1,1,1,1,360000
Centro,353,0,0,0,1,1,1,1,1,1,375000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,500000
Cidade Industrial,63,2,1,1,1,1,1,1,1,1,200000
Vila Hepacare,53,2,1,1,1,1,1,1,1,1,320000
Cabelinha,150,3,2,1,1,1,1,1,1,1,550000
Bairro da Cruz,280,0,0,0,1,1,1,1,1,1,450000
Centro,330,3,1,0,1,1,1,1,1,1,499000
Bairro da Cruz,360,0,0,0,1,1,1,1,1,1,474000
Santo Antônio,48,2,1,1,1,0,1,1,1,1,216000
Parque das Rodovias,75,2,1,2,1,1,1,1,1,0,330000
Bairro da Cruz,150,2,2,2,1,1,1,1,1,1,610000
Cidade Industrial,63,2,1,1,1,1,1,1,1,1,200000
Bairro da Cruz,150,2,2,2,1,1,1,1,1,1,610000
Centro,115,3,2,1,1,1,1,1,1,1,480000
Cidade Industrial,90,3,1,0,1,1,1,1,1,1,465000
Cidade Industrial,133,2,1,2,1,1,1,1,1,1,550000
Vila Portugal,2,0,0,0,0,0,0,0,1,0,360000
Bairro da Cruz,210,2,1,0,1,1,1,1,1,1,400000
Centro,91,2,2,0,1,1,1,1,1,1,450000
Parque Mondesir,97,2,2,1,1,1,1,1,1,0,425000
Vila Hepacare,142,2,1,1,1,1,1,1,1,1,450000
Vila Santa Edwiges,128,1,2,0,1,1,1,1,1,1,265000
Nova Lorena,37,0,0,0,1,1,1,1,1,1,300000
Cidade Industrial,210,0,0,0,1,1,1,1,1,1,150000
Loteamento Jardim Primavera,147,0,2,0,0,0,1,1,1,1,235000
Cabelinha,38,1,1,1,1,1,1,1,1,1,150000
Vila Nunes,300,0,0,0,1,1,1,1,1,1,480000
Vila dos Comerciários I,171,1,2,1,1,0,1,1,1,0,380000
